# 
# Coordonnées des stations du Réseau GNSS Permanent.
# Elles sont exprimées dans le système de référence légal français, c'est-à-dire :
#  - le RGF93, pour les stations situées en Métropole
#  - le RGAF09, pour les stations situées dans les Antilles
#  - le RGFG95, pour les stations situées en Guyane
#  - le RGR92, pour les stations situées à la Réunion
#  - le RGM04, pour les stations situées à Mayotte
#  - le RGSPM06, pour les stations situées à Saint Pierre et Miquelon
# 
# Après les 3 premières lignes d'en-tête, le format du fichier est le suivant :
#  - SITE      : [ %4s] L'acronyme de la station
#  - X,Y,Z     : [ %12.3f]x3 Les coordonnées cartésiennes exprimées en mètres
#  - lat       : [ %14.9f] La latitude exprimée en "deg.minsec" comptée positivement vers le nord
#  - lon       : [ %14.9f] La longitude exprimée en "deg.minsec" comptée positivement vers l'est
#  - he        : [ %9.3f] La hauteur sur l'ellipsoïde exprimée en mètres
#  - ha        : [ %7.4f] La hauteur d'antenne exprimée en mètres et mesurée depuis le repère jusqu'au plan de réferénce de l'antenne (ARP). La définition de l'ARP dépend du modèle d'antenne. Il est très souvent defini comme etant le BPA (Bottom of Pre-Amplifier)
#  - systeme
#    de ref.   : [ %9s] système de référence dans lequel sont exprimées les coordonnées
#  - statut de
#    stabilité : [     %1s] Le statut de stabilité annuel est un critère de stabilité à long terme (pour de plus amples informations http://rgp.ign.fr/STATIONS/statut_stab.php)
# 
# Ces informations sont valides à la date du 09/05/2019.
# 

 SITE       X            Y            Z            lat            lon          he      ha      systeme    statut de
           (m)          (m)          (m)       (deg.minsec)   (deg.minsec)     (m)     (m)     de ref.    stabilité
 EPR2  4174225.041   -26693.130  4806407.952   49.125936897   -0.215899411   116.259  0.0720     RGF93     B
 EQHE  4048144.378   110780.585  4911158.544   50.404925642    1.340318668    89.582  0.0000     RGF93     B
 ERCK  4168605.511   538759.398  4781505.933   48.522288711    7.215114203   296.126  0.0000     RGF93     B
 ESAB  4477793.392   375845.710  4511564.618   45.182556583    4.475244776   207.741  0.0000     RGF93     B
 ETOI  4189647.321   570355.264  4759464.501   48.342361162    7.450818279   233.715  0.0000     RGF93     B
 EZEV  4573471.038   601888.160  4390081.595   43.462794760    7.295021479    76.748  0.0000     RGF93     B
 FAJP  4653568.657   164607.616  4344574.310   43.122654849    2.013302833   367.971  0.0000     RGF93     B
 FAYE  4593385.988   538747.132  4377901.098   43.371477572    6.412227413   312.990  0.0000     RGF93     B
 FDET  4324336.334    47005.465  4672617.262   47.242511240    0.372200676   153.411  0.0000     RGF93     B
 FEGA  4203470.867   245064.842  4774998.355   48.470555066    3.201176356   224.278  0.0000     RGF93     N
 FETA  4167832.360   255595.637  4805310.216   49.120302401    3.303353166   168.387  0.0000     RGF93     B
 FEUR  4447612.979   328894.346  4545009.955   45.440527228    4.134526261   401.856  0.0000     RGF93     B
 FFT2  2986964.208 -5402704.647  1597459.426   14.360528340  -61.034804939   -30.091  0.0000    RGAF09     N
 FIED  4354791.506   435806.015  4624932.581   46.462174932    5.425346383   599.672  0.0000     RGF93     B
 FILF  4701611.841   198457.135  4292258.086   42.333688964    2.250136422   904.142  0.0000     RGF93     N
 FJC2  4662985.751   227641.649  4331633.680   43.025337268    2.474162457   323.178  0.0500     RGF93     N
 FLER  4213648.517   -40437.744  4772226.825   48.444768498   -0.325943121   271.707  0.0720     RGF93     N
 FLGY  4330024.778   464746.129  4645286.227   47.022391376    6.073419017   671.803  0.0000     RGF93     B
 FLRC  4561739.131   286560.940  4434443.699   44.193097087    3.354021201   607.917  0.0000     RGF93     B
 FOU2  4119896.165   113693.326  4851656.069   49.503119498    1.345067293   238.133  0.0720     RGF93     N
 FOUG  4259069.668   475130.198  4708511.335   47.530367259    6.215559105   335.341  0.0000     RGF93     N
 FRAN  4152301.162    12606.949  4825243.957   49.283658962    0.102624598    80.360  0.0000     RGF93     B
 FRGN  4356794.872   369838.419  4628309.682   46.491291128    4.510747469   268.354  0.0000     RGF93     N
 FRTT  4282028.872   417314.350  4693296.381   47.404921312    5.335869918   373.469  0.0000     RGF93     B
 GAJN  4590742.146   337902.356  4400336.929   43.540631495    4.123482734   150.395  0.0000     RGF93     N
 GAMO  4392884.136  4405773.100 -1399682.854  -12.454138813   45.052152670    -3.796  0.0000     RGM04     N
 GARD  4530322.642    24585.148  4474627.765   44.501545743    0.183934655    80.602  0.0000     RGF93     B
 GDIJ  4313999.303   380820.705  4667145.163   47.195780577    5.024106512   315.197  0.0000     RGF93     B
 GIE1  4302664.564   209046.159  4688133.554   47.364681981    2.465355905   212.206  0.0000     RGF93     B
 GINA  4597159.247   465906.747  4382366.588   43.403259290    5.471311737   381.975  0.0000     RGF93     B
 GLRA  4516665.279   357378.650  4475273.030   44.502131260    4.312665712   813.949  0.0000     RGF93     A
 GORN  4241215.892   -59777.033  4747642.520   48.244644364   -0.482696868   224.752  0.0720     RGF93     A
 GRAC  4581708.596   556132.376  4389341.035   43.451615287    6.551474652  1319.861  0.0500     RGF93     B
 GRAS  4581691.159   556114.576  4389360.566   43.451704572    6.551405071  1319.316  0.0350     RGF93     A
 GRON  4344299.844   205495.862  4650009.066   47.062408254    2.422955562   222.837  0.0000     RGF93     B
 GUIP  4226392.958  -326080.504  4749929.154   48.264056289   -4.244256253   154.664  0.0000     RGF93     B
 HERB  4318112.847  -175075.752  4675185.550   47.263126744   -2.191832670    61.506  0.0000     RGF93     N
 HOLA  4591090.667   258414.702  4406200.687   43.581109710    3.131760938   759.860  0.0000     RGF93     N
 HRSN  4103970.431   292251.365  4857632.049   49.553158616    4.042374655   232.430  0.0720     RGF93     B
 ILBO  4347491.510    31706.421  4651268.193   47.072861031    0.250427041    90.474  0.0720     RGF93     B
 ILDG  4297272.625  -258760.783  4690370.502   47.383982647   -3.264528107    56.267  0.0000     RGF93     N
 ILDX  4436671.275   -91138.374  4566017.864   46.003393898   -1.103650849    59.027  0.1350     RGF93     B
 IRYL  3858718.868 -5044576.807   583534.797    5.170482614  -52.351230448   -28.016  0.0000    RGFG95     N
 ISLA  4180664.162   161075.892  4798188.822   49.061382448    2.122320253    81.646  0.0000     RGF93     B
 ISLD  4292354.121   495796.114  4676279.394   47.271352355    6.351987286   348.330  0.0000     RGF93     N
 IXLT  4636686.525   455208.843  4341471.060   43.101781170    5.362545657    66.132  0.0000     RGF93     N
 IXSG  4198247.821   151301.348  4783326.862   48.535781801    2.035039568   153.534  0.0000     RGF93     B
 JANU  4495454.049   528892.396  4482123.077   44.543729557    6.423611168  2583.886  0.0000     RGF93     B
 JARG  4284262.616   158640.647  4706727.003   47.514388716    2.071422839   158.252  0.0720     RGF93     B
 JEB2  4230250.549   555664.094  4725396.766   48.064421543    7.285965747   235.836  6.5530     RGF93     N
 JOI2  4376976.632  -179929.152  4620330.252   46.430223223   -2.211438095    77.476  0.0000     RGF93     B
 JONZ  4482698.161   -34939.807  4521968.005   45.262906108   -0.264767161    92.125  0.0000     RGF93     N
 JOUS  4518687.607   210230.009  4482476.903   44.555136133    2.394946700   791.643  0.0000     RGF93     N
 JOUX  4373976.918   443957.301  4606479.661   46.314285716    5.474436015   845.502  0.0000     RGF93     B
 KAWE  4381921.866  4416482.868 -1400273.239  -12.460111186   45.133022436    -7.188  0.0000     RGM04     N
 KEGA  4248296.215  -254880.042  4734912.449   48.142667917   -3.260021152   222.555  0.0000     RGF93     N
 KONE  4276913.530  -291752.033  4706934.847   47.515670294   -3.540870411    80.423  0.0720     RGF93     B
 KOUG  3855263.392 -5049731.972   563040.204    5.055448792  -52.382309870   107.238  0.0000    RGFG95     N
 LACA  4615743.805   219899.764  4383434.603   43.405155368    2.433928697  1315.554  0.0000     RGF93     B
 LACO  4652176.128    91738.021  4348081.173   43.150476439    1.074688666   293.702  0.0000     RGF93     N
 LAIG  4276426.593   327028.079  4705348.203   47.503278924    4.222289890   286.100  0.0000     RGF93     N
 LALL  4403941.803   441724.214  4578272.507   46.093908097    5.433981068   863.498  0.0000     RGF93     N
 LANN  4207154.780  -252354.544  4771255.072   48.440567533   -3.255741802   117.470  0.0720     RGF93     B
 LAVL  4269443.182   -53906.940  4722385.182   48.042212303   -0.432420698   128.188  0.0000     RGF93     B
 LBRD  4542413.860   -41847.180  4462296.093   44.405311627   -0.314016951    72.560  0.0720     RGF93     B
 LBUG  4521485.049    72694.344  4483242.678   44.564337675    0.551594440   266.485  0.0000     RGF93     B
 LCAU  4518556.278   -84830.486  4485690.215   44.584166640   -1.043192001    73.596  0.0720     RGF93     B
 LCVA  4456911.823    14687.185  4547449.760   45.460585898    0.111971693   181.126  0.0000     RGF93     N
 LENE  4179491.129    66169.220  4801576.649   49.085740304    0.542528775   188.657  0.0720     RGF93     B
 LEPO  3393377.353  4897824.950 -2267723.434  -20.575185028   55.170414504    23.149  0.0000     RGR92     N
 LESA  4613840.167   378034.686  4372894.182   43.333832625    4.410262564    68.662  0.0000     RGF93     N
 LETO  4062328.801   114824.164  4899382.738   50.304998192    1.370864674    62.123  0.0720     RGF93     B
 LEZI  4650843.409   226676.982  4344306.705   43.122277712    2.472517033   101.010  0.0000     RGF93     N
 LGAR  4572456.098    30235.469  4431898.752   44.175067219    0.224391080   136.121  0.0720     RGF93     B
 LGBO  4487010.637    46044.834  4517852.750   45.231369851    0.351657519   258.744  0.0000     RGF93     N
 LGES  4452103.652    95645.970  4551408.542   45.490360012    1.135057142   365.769  0.0000     RGF93     B
 LIL2  4049340.931   221852.838  4906448.715   50.364862639    3.080942462    96.196  0.0000     RGF93     B
 LIZY  4184700.991   221622.861  4792323.840   49.012315700    3.015364232   106.178  0.0000     RGF93     B
 LMCU  4047063.964   217534.907  4908525.698   50.383399676    3.043634027   111.094  0.4090     RGF93     A
 LMDM  4424160.380   283110.427  4571012.212   46.040874071    3.394130407   601.272  0.0000     RGF93     B
 LMMF  2993387.314 -5399363.958  1596747.995   14.354133813  -60.594623659   -27.089  0.0000    RGAF09     N
 LONS  4363381.789   424528.376  4617550.214   46.404244113    5.332524553   325.634  0.0000     RGF93     B
 LPAS  4323277.032  -239757.251  4667640.000   47.202902658   -3.102718305    99.527  0.0000     RGF93     B
 LPPZ  4224156.478  -351772.304  4750009.355   48.264652652   -4.453743601    98.548  0.0720     RGF93     B
 LROC  4424632.791   -94175.481  4577543.854   46.093218167   -1.130955179    57.854  0.0000     RGF93     A
 LRTZ  4193915.291   454975.678  4768105.923   48.412583753    6.112940929   262.285  0.0000     RGF93     B
 LSIE  4179950.922    19021.270  4801619.567   49.085881824    0.153862142   207.590  0.0000     RGF93     B
 LUCE  4287689.893   546846.247  4675410.395   47.261805016    7.160547813   741.612  0.0000     RGF93     B
 LUCI  4653100.631   781238.631  4277435.852   42.231061191    9.315109669    63.720  0.0000     RGF93     B
 LULI  4374526.263   225123.973  4620942.459   46.432426820    2.564554267   277.611  0.0720     RGF93     N
 LUMI  4646271.929   721554.443  4295176.639   42.361056233    8.493856137    57.007  0.0000     RGF93     B
 LURI  4616572.759   770557.359  4318464.463   42.531829562    9.283341863    54.179  0.0000     RGF93     A
 MACH  4357345.572  -137152.000  4640159.149   46.584153577   -1.481025725    64.563  0.0720     RGF93     B
 MAGC  4449945.980   224257.765  4549706.269   45.472799483    2.530605519   861.775  0.1387     RGF93     N
 MAGR  4253187.293   246908.333  4730863.966   48.111281511    3.192077201   144.389  0.0000     RGF93     B
 MAIG  3383479.751  4901531.060 -2280412.428  -21.044701468   55.225899652  2165.353  0.0000     RGR92     N
 MAKS  4250693.522   524293.318  4712061.638   47.552280499    7.015346918  1237.199  0.0000     RGF93     B
 MAN2  4274276.150    11584.088  4718385.790   48.010700922    0.091901484   167.933  0.0000     RGF93     B
 MARG  4403346.206   502531.300  4572138.371   46.050390705    6.303853632   524.194  0.0000     RGF93     A
 MARS  4630533.002   433946.051  4350142.489   43.164356093    5.211362171    61.803  0.0700     RGF93     B
 MATC  4413682.751   123658.820  4587799.622   46.172096273    1.361744103   392.283  0.0000     RGF93     B
 MAUL  4723952.661   749473.752  4205541.586   41.305346056    9.005422782   202.480  0.0000     RGF93     A
 MAUP  4232269.231    39698.809  4755887.631   48.312592937    0.321471317   309.179  0.0000     RGF93     B
 MAYG  4379104.717  4418744.326 -1401898.073  -12.465539578   45.152934090   -16.349  3.0356     RGM04     A
 MAZE  4472267.278   -46239.892  4532122.428   45.341819985   -0.353254753    97.432  0.0000     RGF93     B
 MELN  4226433.003   197279.053  4756902.436   48.322214649    2.402092890   128.814  0.0000     RGF93     A
 MERY  4223388.743   286950.879  4755068.967   48.305211826    3.531280208   139.837  0.0000     RGF93     B
 MGIS  4273017.132   202542.353  4715185.957   47.583292748    2.424970410   147.489  0.0000     RGF93     B
 MICH  4578887.139   458434.149  4402461.315   43.552695312    5.430246192   628.136  0.0000     RGF93     B
 MIMZ  4578961.301   -98179.905  4424150.586   44.120226944   -1.134195406    71.660  0.0000     RGF93     A
 MIRE  4227289.149   453358.567  4739013.967   48.174149304    6.071678391   351.055  0.0000     RGF93     B
 MLVL  4201577.209   189859.856  4779064.567   48.502779751    2.351430796   160.461  0.0750     RGF93     A
 MNBL  4287062.946   511666.439  4679489.336   47.294500205    6.482206503   413.072  0.0000     RGF93     B
 MNTP  4612232.571   311932.927  4379804.535   43.384644092    3.520881928   104.039  0.0000     RGF93     B
 MODA  4470757.844   525990.897  4504955.275   45.124958812    6.423629470  1182.258  0.0000     RGF93     B
 MOFA  4137103.142    43194.579  4838160.299   49.391708042    0.355348698   188.433  0.0000     RGF93     B
 MOGN  4411067.830   370633.596  4576848.777   46.085377894    4.481048837   233.020  0.0000     RGF93     A
 MOMO  4140686.313   106260.320  4834180.068   49.355722128    1.281210695   214.144  0.0000     RGF93     B
 MONS  4387248.635   251859.001  4607620.542   46.325476183    3.170807200   312.983  0.0000     RGF93     B
 MORN  4462840.544    21228.838  4541714.584   45.413808417    0.162115294   231.086  0.0720     RGF93     B
 MPRV  4424476.940    40583.650  4578685.938   46.102050310    0.313191718   208.614  0.0000     RGF93     B
 MRON  4352245.946   484521.622  4623551.642   46.445004518    6.210863610  1367.407  0.0000     RGF93     B
 MSGT  4679573.605   133117.941  4318083.849   42.524658258    1.374594975   548.633  0.0000     RGF93     A
 MSMM  4583675.915   497926.721  4393485.940   43.483834809    6.115911798   797.775  0.0000     RGF93     B
 MSRT  4473661.469   118817.115  4530098.897   45.322911679    1.311695199   566.214  0.0000     RGF93     B
 MTBT  4221766.748   337006.588  4753353.688   48.292511930    4.335044622   227.088  0.0000     RGF93     N
 MTDM  4604447.896   -38966.409  4398804.142   43.525791632   -0.290553109   133.900  0.0000     RGF93     A
 MTLS  4581366.343   124023.477  4421180.165   44.094481696    1.330249004   175.130  0.0000     RGF93     N
 MTMN  4403471.116    67565.250  4598401.391   46.254567620    0.524460341   179.619  0.0720     RGF93     B
 MTP2  4612850.067   311569.800  4379221.023   43.381952975    3.515079688   129.444  0.0000     RGF93     B
 MZAN  4579136.199   -97852.000  4423987.198   44.115468350   -1.132702168    78.080  0.0000     RGF93     B
 NARB  4650690.091   241500.760  4343635.011   43.115377778    2.582129485    72.764  0.0720     RGF93     B
 NAYC  4382180.752    30386.731  4618895.780   46.415236378    0.235024971   139.282  0.0000     RGF93     B
 NGER  4319039.732   -41298.146  4677470.016   47.281909509   -0.325221952   106.068  0.0000     RGF93     B
 NICA  4581809.283   581031.772  4384492.682   43.421174075    7.133812767   256.500  0.0000     RGF93     B
 NIVO  4454771.411   414054.911  4531059.164   45.332018050    5.183664515   364.721  0.0000     RGF93     N
 NMCU  4338224.357  -121072.675  4658434.162   47.130906237   -1.355501615   115.834  0.0000     RGF93     B
 NMTR  4353566.008  -170563.924  4642572.060   47.003634377   -2.143690779    57.308  0.0000     RGF93     N
 NOGT  4254499.317   398270.764  4719841.527   48.020721483    5.205268471   453.164  0.0000     RGF93     B
 NOYL  4265603.768  -112247.370  4724792.414   48.061930982   -1.302650969   114.005  0.0000     RGF93     B
 NVPT  4383710.408    20281.887  4617560.864   46.404804297    0.155430794   177.141  0.0000     RGF93     B
 OISO  4261945.928   146571.017  4727242.963   48.081530457    1.581078261   193.029  0.0720     RGF93     B
 OP71  4202780.173   171370.299  4778660.310   48.500924376    2.200588598   124.574  0.0000     RGF93     N
 OPME  4455229.107   240489.362  4543528.307   45.424636754    3.052319843   707.980  0.0000     RGF93     B
 OPMT  4202777.622   171367.761  4778659.984   48.500930145    2.200576672   122.583  0.0000     RGF93     A
 OSAN  4669514.466   708901.047  4272464.476   42.192695868    8.375673522   254.354  0.0000     RGF93     B
 OTER  4363993.099    79076.964  4635418.833   46.545355767    1.021717589   154.735  0.0720     RGF93     B
 PALI  4627054.798   389395.149  4357997.350   43.223348997    4.483764761    60.382  0.0000     RGF93     B
 PAMO  4389716.061   316017.635  4601385.755   46.280063570    4.070352328   335.485  0.0000     RGF93     B
 PANA  4201030.695   175603.793  4780030.255   48.511677660    2.233688746   120.644  0.0000     RGF93     B
 PARD  4633957.822   228541.065  4362855.719   43.255292538    2.492448915   622.798  0.0000     RGF93     A
 PAYR  4626375.768   189029.269  4372370.052   43.330515400    2.202309655   384.772  0.0000     RGF93     B
 PDOM  4451595.386   230537.210  4548701.002   45.461962458    2.575241442  1513.554  0.0000     RGF93     B
 PERP  4689566.302   236092.078  4302248.506   42.412097228    2.525545997    95.948  0.0000     RGF93     B
 PERX  4334045.865   490447.960  4639564.729   46.573623461    6.272240014  1134.051  0.0000     RGF93     B
 PEYR  4624016.252    17406.684  4378738.461   43.375281752    0.125646123   294.823  0.0000     RGF93     B
 PIAA  4676351.570   709675.955  4265332.094   42.140603312    8.374539324   543.380  0.0000     RGF93     B
 PICO  4726256.091   754030.340  4201944.465   41.282190162    9.035262336    59.406  0.0000     RGF93     N
 PIER  3373248.245  4894475.014 -2304445.534  -21.191200880   55.253208274    24.832  0.0000     RGR92     N
 PIMI  4678892.704    11648.780  4324325.440   42.561114186    0.083352500  2923.432  0.0000     RGF93     B
 PLCF  3364043.048  4907962.408 -2293528.476  -21.123167855   55.342014647  1564.900  0.0000     RGR92     N
 PLEM  4257323.752  -193174.100  4729721.650   48.101543892   -2.355275525   197.289  0.0720     RGF93     B
 PLGN  4219521.480  -274667.415  4759261.330   48.341537366   -3.432777720   187.313  0.0000     RGF93     N
 PLMG  4202753.680  -231708.686  4776174.661   48.480649386   -3.092041147   139.317  0.0000     RGF93     N
 PLST  4237320.833  -180312.763  4747978.916   48.250533275   -2.261199385   156.744  0.0000     RGF93     N
 PNTV  4265721.154  -218493.744  4721044.353   48.031626999   -2.555582805   153.076  0.0000     RGF93     N
 POBU  4396290.539   319778.157  4595006.307   46.225802012    4.093694948   420.861  0.0000     RGF93     A
 PPTG  2919953.206 -5384974.886  1770569.838   16.132771261  -61.315391590   -39.580  3.0710    RGAF09     N
 PRAC  4555119.553    94456.034  4448748.695   44.303372203    1.111654281   168.522  0.0720     RGF93     N
 PRIE  4630632.093   435498.102  4350065.344   43.163632700    5.222174156   186.360  0.0000     RGF93     B
 PRNY  4339328.359   482005.683  4635194.179   46.541768154    6.201802689   883.555  0.0000     RGF93     A
 PRRS  4175265.603  -103281.647  4804442.440   49.112309378   -1.250123843    86.933  0.0000     RGF93     B
 PTRC  4335358.270    23126.136  4662552.754   47.162643597    0.182026956    89.624  0.0000     RGF93     B
 PUYA  4501028.727   511152.356  4477342.052   44.512759961    6.284421762  1690.280  0.0000     RGF93     B
 PUYO  4631305.284   -73849.038  4370204.380   43.313727959   -0.544874167    94.906  0.0000     RGF93     N
 PUYV  4504322.348   305404.962  4491277.151   45.023701428    3.524392696   710.346  0.0000     RGF93     B
 PZNA  4629717.387   276137.981  4363803.522   43.265187044    3.244803927    80.117  0.0000     RGF93     B
 QNSN  4591775.196   484892.174  4386268.594   43.432012754    6.014116798   618.596  0.0000     RGF93     N
 QUYC  4489040.335   -76934.269  4515151.168   45.211568538   -0.585467056    59.152  0.0000     RGF93     N
 RAYL  4630120.224   527033.709  4340756.092   43.093783815    6.293792935   336.268  0.0000     RGF93     B
 RENN  4264988.984  -124149.170  4725020.075   48.063109667   -1.400244821    93.264  0.0000     RGF93     A
 REUN  3364099.232  4907944.363 -2293466.999  -21.122961699   55.341818633  1558.397  0.0610     RGR92     N
 RGNC  4339482.689    68797.942  4658369.594   47.130492073    0.542983801   146.224  0.0000     RGF93     B
 RIXH  4262372.031   551921.732  4697252.884   47.435981202    7.224081986   366.781  0.0000     RGF93     B
 RMZT  4543278.744   426409.869  4441963.907   44.251469121    5.214245897   516.224  0.0000     RGF93     N
 RNNE  4423879.571   314215.744  4568900.900   46.023896952    4.034584788   340.553  0.0000     RGF93     N
 ROMY  4168975.226   274617.374  4803422.475   49.102556718    3.460740724   274.197  0.0000     RGF93     B
 ROSD  4434268.240   515276.116  4542573.428   45.412935055    6.374161001  1694.489  0.0000     RGF93     B
 ROSI  4437552.686   533527.006  4537551.276   45.373053039    6.512075260  1880.035  0.0720     RGF93     B
 ROTG  4205958.055  -291581.358  4770000.277   48.430635980   -3.575662808    56.102  3.0895     RGF93     B
 ROYA  4466459.128   -79863.252  4537304.454   45.381905690   -1.012775858    69.048  0.0720     RGF93     B
 RST2  4579745.873   439663.945  4404112.224   43.562743265    5.290129784  1069.826  0.0000     RGF93     B
 RUPT  4223321.334   379769.483  4748815.661   48.254253295    5.081799204   255.907  0.0000     RGF93     N
 RYON  4381294.291  -109287.788  4618528.700   46.413546693   -1.254403948   126.625  0.0000     RGF93     B
 SAFQ  4593154.570   229660.932  4405090.848   43.573318302    2.514480231   374.540  0.0000     RGF93     N
 SAMR  4298947.697  -154192.634  4693483.348   47.410774614   -2.031503895   105.162  0.0000     RGF93     N
 SARI  4693639.002   777237.545  4233934.818   41.512996998    9.240901001    57.245  0.0000     RGF93     B
 SARL  4160873.091   513198.290  4790951.790   49.000914329    7.015267296   275.252  0.0000     RGF93     B
 SARZ  4309876.687  -208511.970  4681398.179   47.312814203   -2.461132296    83.804  0.0720     RGF93     B
 SAUN  4309740.980    70090.733  4685727.574   47.345281733    0.555425658   169.331  0.0000     RGF93     B
 SBLS  4288527.003   -24713.983  4705378.409   47.504099268   -0.194865253    97.452  0.0720     RGF93     B
 SCDA  4527128.471   258455.016  4471958.625   44.474027357    3.160294625  1115.360  0.0000     RGF93     B
 SCOA  4639940.872  -136225.480  4359552.014   43.234283476   -1.405405410    59.458  0.0000     RGF93     B
 SCOP  4705924.305   753839.598  4225888.721   41.451489308    9.060310460   928.011  0.0000     RGF93     B
 SDDP  4358184.034   192551.899  4637639.971   46.563646530    2.314720324   224.450  0.0000     RGF93     N
 SEES  4226614.790    12629.117  4760950.314   48.353567990    0.101631702   251.176  0.0720     RGF93     B
 SEMU  4305508.026   326668.246  4679034.813   47.292565986    4.201983245   344.054  0.0000     RGF93     N
 SEUR  4340716.542   391333.297  4641509.416   46.593936285    5.090547745   245.160  0.0720     RGF93     B
 SGIL  4606571.414   357184.394  4382269.159   43.403723788    4.260142688    90.749  0.0720     RGF93     A
 SIRT  4213551.159   162494.270  4769661.553   48.424379310    2.123059722   217.425  0.0000     RGF93     B
 SIST  4553799.516   471598.239  4426768.457   44.134506887    5.544521150   564.373  0.0000     RGF93     N
 SJDA  4442299.096   -39491.648  4561368.788   45.565594187   -0.303362767    98.370  0.0000     RGF93     N
 SJDV  4433470.103   362672.574  4556211.483   45.524469363    4.403565922   432.411  0.0000     RGF93     A
 SJPL  4460967.746   209565.067  4539903.738   45.394767916    2.412268417  1029.096  0.0720     RGF93     B
 SLEU  3387826.301  4890457.740 -2291647.315  -21.114546744   55.171687838    27.679  0.0000     RGR92     N
 SMCR  4370414.965   446388.892  4609614.131   46.341017103    5.495483118   853.332  0.0000     RGF93     N
 SMLE  4405415.772   -17059.531  4596999.996   46.244015292   -0.131873579   170.463  0.0720     RGF93     B
 SMNE  4201792.295   177945.238  4779286.685   48.503999031    2.253006521   126.237  0.1390     RGF93     B
 SMSP  4169525.659   334108.189  4799103.427   49.065463094    4.345296159   199.877  0.0000     RGF93     B
 SMTG  4219871.173  -149386.877  4764321.772   48.382788388   -2.013889415    57.724  4.8121     RGF93     B
 SNNT  4425279.420   186538.114  4574813.583   46.070744902    2.244950400   565.966  0.0000     RGF93     N
 SNTL  3387037.338  4890835.617 -2292337.043  -21.120800520   55.174682507   147.881  0.0000     RGR92     N
 SOLR  4520332.693   427178.498  4465049.301   44.424514324    5.235462947   491.932  0.0720     RGF93     N
 SOUS  4525022.243   160159.402  4477907.265   44.522865198    2.013752511   597.681  0.0000     RGF93     B
 SRMG  4543158.591    35967.157  4461646.722   44.402234209    0.271291761   109.715  0.0000     RGF93     N
 SROS  3345961.784  4922536.901 -2284508.360  -21.073656635   55.474254025    27.421  0.0000     RGR92     N
 STAN  3362018.944  4919941.106 -2266740.019  -20.571682457   55.391235781    86.106  0.0000     RGR92     N
 STBR  4228886.495  -203375.706  4754509.199   48.302439088   -2.451205481   150.036  0.0000     RGF93     B
 STBX  4563292.647   334861.465  4428934.788   44.153392427    4.114894919   219.302  0.0720     RGF93     B
 STDE  3376868.519  4912498.141 -2260738.101  -20.534834767   55.294283098    49.311  0.0000     RGR92     N
 STFE  4466955.221   290982.129  4528973.633   45.313622980    3.433734816   592.237  0.0000     RGF93     B
 STGN  4480245.890   213455.713  4520888.524   45.250698908    2.433980318  1073.066  0.0000     RGF93     B
 STGS  4663617.832    56594.655  4336687.872   43.063430702    0.414297365   431.499  0.0000     RGF93     N
 STJ9  4186324.324   564809.057  4763029.156   48.371797238    7.410173074   237.156  0.0000     RGF93     B
 STJS  3355314.896  4903904.811 -2310586.266  -21.224611769   55.371042655    45.340  0.0000     RGR92     N
 STLO  4181969.787   -77013.598  4799216.149   49.070219748   -1.031806653   146.605  0.0720     RGF93     B
 STMA  4370430.683   126331.044  4628419.084   46.492024508    1.392060122   205.864  0.0000     RGF93     A
 STMR  4624017.159   357554.724  4363900.062   43.265691659    4.251786683    56.092  0.0000     RGF93     B
 STNA  4332469.276  -166663.615  4662299.051   47.161482518   -2.121078816    75.457  0.0000     RGF93     N
 STPM  2436208.256 -3634804.894  4624885.452   46.464016564  -56.100567977     0.473  3.0434   RGSPM06     N
 STPS  4406509.123   253613.297  4589213.359   46.183036728    3.173833279   299.692  0.0000     RGF93     B
 STS2  4612544.942   -45688.075  4390249.212   43.463490238   -0.340302264    95.000  0.0000     RGF93     N
 STV2  4526244.602   484214.361  4453762.786   44.340100294    6.062245374   814.654  0.0000     RGF93     A
 STVA  4366862.186   -17732.667  4633376.006   46.531660761   -0.135758197   158.547  0.0000     RGF93     B
 TANC  4152483.023    32940.040  4824974.281   49.282369969    0.271618452    66.000  0.0000     RGF93     B
 TANZ  4218727.808   552604.525  4735968.958   48.151768839    7.274534796   232.337  0.0000     RGF93     B
 TGRI  4203426.787   143030.782  4779110.217   48.502889540    1.565590382   191.447  0.0000     RGF93     B
 THNV  4137834.639   447344.736  4817173.468   49.215003009    6.101318523   212.230  0.0000     RGF93     B
 THOR  4415020.739   -19105.731  4587818.393   46.172963744   -0.145259270   162.192  0.0000     RGF93     B
 TLIA  4627797.127   119611.550  4373054.784   43.334117617    1.285000062   209.224  0.0000     RGF93     B
 TLMF  4627010.056   111069.213  4374122.859   43.342857490    1.223033956   221.032  0.0000     RGF93     B
 TLSE  4627852.066   119639.756  4372993.324   43.333849057    1.285119369   207.197  1.0530     RGF93     B
 TLSG  4628685.106   119996.725  4372110.023   43.325895081    1.290613134   208.761  0.4410     RGF93     B
 TLTG  4638276.780   480395.360  4337064.975   43.070256198    5.544734674    51.895  3.0785     RGF93     N
 TRBL  4227804.491    98926.739  4758909.087   48.335544876    1.202552632   260.728  0.0000     RGF93     B
 TREM  4347949.863   -60259.855  4650665.832   47.065729706   -0.473851769   166.428  0.0720     RGF93     B
